时间                  模式       几宫格  倒计时  是否胜利
2025-12-11 21:41:05   自定义模式   3宫格   无     是
2025-12-11 21:41:33   自定义模式   3宫格   无     否
2025-12-11 21:43:46   九宫格模式   3宫格   无     否
2025-12-11 21:49:03   旋转模式   3宫格   无     是
2025-12-11 21:49:45   普通模式   4宫格   无     否
2025-12-11 22:55:28   普通模式   3宫格   30秒     否
2025-12-11 23:03:46   普通模式   3宫格   无     否
2025-12-11 23:03:57   普通模式   3宫格   5秒     否
2025-12-11 23:24:42   普通模式   3宫格   无     否
2025-12-11 23:33:10   普通模式   3宫格   无     否
2025-12-11 23:40:57   普通模式   3宫格   无     否
2025-12-11 23:44:38   普通模式   3宫格   无     否
2025-12-11 23:47:21   普通模式   3宫格   无     否
2025-12-11 23:56:27   普通模式   3宫格   无     否
2025-12-11 23:56:34   旋转模式   3宫格   无     否
2025-12-11 23:57:41   普通模式   3宫格   无     否
2025-12-12 00:02:59   普通模式   3宫格   无     否
2025-12-12 01:07:51   普通模式   3宫格   无     否
2025-12-12 01:10:06   普通模式   3宫格   5秒     否
2025-12-12 01:14:37   普通模式   3宫格   无     否
2025-12-12 01:16:06   普通模式   3宫格   5秒     否
2025-12-12 01:16:24   九宫格模式   3宫格   无     否
2025-12-12 01:23:47   普通模式   7宫格   120秒     否
2025-12-12 01:24:41   普通模式   7宫格   120秒     否
2025-12-12 01:24:52   普通模式   3宫格   5秒     否
2025-12-12 01:36:43   普通模式   7宫格   120秒     否
2025-12-12 01:36:47   旋转模式   3宫格   无     否
2025-12-12 04:28:11   自定义模式   3宫格   无     否
2025-12-12 07:50:04   普通模式   3宫格   无     否
2025-12-12 07:53:11   普通模式   3宫格   无     否
2025-12-12 07:56:45   普通模式   3宫格   无     否
2025-12-12 07:56:57   普通模式   3宫格   无     是
2025-12-12 07:57:12   自定义模式   3宫格   无     否
2025-12-12 07:57:19   旋转模式   3宫格   无     否
2025-12-12 08:12:57   普通模式   3宫格   无     否
2025-12-12 08:14:46   普通模式   3宫格   无     否
2025-12-12 08:15:14   普通模式   3宫格   无     否
2025-12-12 08:18:47   普通模式   3宫格   无     否
2025-12-12 08:20:40   普通模式   3宫格   无     否
2025-12-12 08:27:21   普通模式   3宫格   无     否
2025-12-12 08:28:25   普通模式   3宫格   无     否
2025-12-12 08:42:47   普通模式   3宫格   无     否
2025-12-12 08:48:25   普通模式   3宫格   无     否
2025-12-12 15:54:27   普通模式   3宫格   无     否
2025-12-12 16:01:14   普通模式   3宫格   无     否
2025-12-12 16:03:14   九宫格模式   7宫格   5秒     否
2025-12-12 16:04:14   旋转模式   3宫格   无     是
2025-12-12 16:04:33   普通模式   3宫格   无     是
2025-12-12 16:04:52   自定义模式   3宫格   无     是
2025-12-12 16:06:42   旋转模式   9宫格   无     否
2025-12-12 16:08:06   普通模式   3宫格   无     是
2025-12-12 16:08:14   普通模式   3宫格   无     是
2025-12-12 16:08:50   普通模式   3宫格   无     否
2025-12-12 16:09:12   自定义模式   5宫格   5秒     否
2025-12-12 16:09:29   自定义模式   5宫格   5秒     否
2025-12-12 16:12:07   普通模式   3宫格   无     否
2025-12-12 16:28:16   普通模式   3宫格   无     是
2025-12-12 16:29:10   普通模式   3宫格   无     否
2025-12-12 16:29:42   普通模式   7宫格   5秒     否
2025-12-12 16:29:51   普通模式   3宫格   无     否
2025-12-12 16:30:03   普通模式   4宫格   5秒     否
2025-12-12 16:30:18   普通模式   3宫格   5秒     否
2025-12-12 16:30:54   自定义模式   3宫格   无     否
2025-12-12 16:31:14   九宫格模式   3宫格   无     否
2025-12-12 16:31:33   旋转模式   3宫格   无     否
2025-12-12 16:34:46   普通模式   3宫格   无     是
2025-12-12 16:35:49   普通模式   3宫格   无     否
2025-12-12 16:36:28   普通模式   5宫格   无     否
2025-12-12 16:36:40   普通模式   3宫格   5秒     否
2025-12-12 16:36:57   普通模式   3宫格   5秒     否
2025-12-12 16:37:08   普通模式   3宫格   5秒     否
2025-12-12 16:37:16   普通模式   3宫格   5秒     否
2025-12-12 16:37:23   普通模式   3宫格   5秒     否
2025-12-12 16:38:03   自定义模式   5宫格   5秒     否
2025-12-12 16:38:34   九宫格模式   3宫格   无     否
2025-12-12 16:38:58   旋转模式   3宫格   无     否
2025-12-12 16:42:07   普通模式   3宫格   无     是
2025-12-12 16:43:29   普通模式   3宫格   无     否
2025-12-12 16:44:11   普通模式   5宫格   无     否
2025-12-12 16:44:24   普通模式   3宫格   5秒     否
2025-12-12 16:44:36   普通模式   3宫格   5秒     否
2025-12-12 16:45:12   自定义模式   3宫格   无     否
2025-12-12 16:45:36   九宫格模式   3宫格   无     否
2025-12-12 16:46:00   旋转模式   3宫格   无     否
2025-12-12 16:47:19   普通模式   3宫格   无     否
2025-12-12 16:54:20   普通模式   3宫格   无     是
2025-12-12 17:02:01   普通模式   3宫格   无     是
2025-12-12 17:03:09   普通模式   3宫格   无     否
2025-12-12 17:03:48   普通模式   8宫格   5秒     否
2025-12-12 17:03:59   普通模式   8宫格   5秒     否
2025-12-12 17:04:06   普通模式   8宫格   5秒     否
2025-12-12 17:04:48   自定义模式   3宫格   无     否
2025-12-12 17:05:04   九宫格模式   3宫格   无     否
2025-12-12 17:05:27   旋转模式   3宫格   无     否
2025-12-12 17:06:53   普通模式   3宫格   无     否
2026-05-01 16:10:49   普通模式         3宫格        无限制        失败    
2026-05-01 16:11:03   自定义模式        3宫格        无限制        失败    
2026-05-01 16:11:55   普通模式         3宫格        无限制        失败    
2026-05-01 16:31:38   普通模式         3宫格        无限制        失败    
2026-05-01 16:56:02   普通模式         3宫格        无限制        失败    
2026-05-01 17:17:21   普通模式         3宫格        无限制        失败    
2026-05-01 17:29:20   普通模式         3宫格        无限制        失败    
2026-05-01 17:35:55   普通模式         3宫格        无限制        失败    
2026-05-01 17:42:43   自定义模式        3宫格        无限制        失败    
2026-05-01 17:42:50   九宫格模式        3宫格        无限制        失败    
2026-05-01 17:43:11   旋转模式         3宫格        无限制        失败    
2026-05-01 17:48:58   自定义模式        3宫格        无限制        失败    
2026-05-01 17:49:15   自定义模式        3宫格        无限制        失败    
2026-05-01 17:57:28   普通模式         3宫格        无限制        失败    
2026-05-01 18:00:19   普通模式         3宫格        无限制        失败    
2026-05-01 18:24:25   普通模式         3宫格        无限制        失败    
2026-05-01 18:32:17   普通模式         3宫格        无限制        失败    
2026-05-01 18:49:35   普通模式         3宫格        无限制        失败    
2026-05-01 19:42:09   普通模式         3宫格        5秒         失败    
2026-05-01 20:05:49   官府建筑         3宫格        5秒         失败    
2026-05-01 20:05:54   普通模式         3宫格        无限制        失败    
2026-05-01 20:05:58   普通模式         3宫格        无限制        失败    
2026-05-02 15:55:18   旋转模式         3宫格        无限制        失败    
2026-05-02 16:10:29   普通模式         3宫格        无限制        失败    
2026-05-02 16:18:35   普通模式         3宫格        无限制        失败    
2026-05-02 18:13:04   普通模式         3宫格        无限制        成功    
2026-05-02 18:13:27   普通模式         3宫格        无限制        失败    
2026-05-02 18:16:57   普通模式         3宫格        无限制        失败    
2026-05-02 18:22:19   普通模式         3宫格        无限制        成功    
2026-05-02 18:28:27   普通模式         3宫格        无限制        失败    
2026-05-02 18:39:50   普通模式         3宫格        无限制        失败    
2026-05-02 18:56:11   普通模式         3宫格        无限制        失败    
2026-05-02 18:56:21   普通模式         3宫格        无限制        失败    
2026-05-02 19:02:41   普通模式         3宫格        无限制        失败    
2026-05-02 19:07:40   普通模式         3宫格        无限制        成功    
2026-05-02 19:07:51   普通模式         3宫格        无限制        成功    
2026-05-02 19:11:28   普通模式         3宫格        无限制        失败    
2026-05-02 19:20:23   普通模式         3宫格        无限制        成功    
2026-05-02 19:20:33   普通模式         3宫格        无限制        失败    
2026-05-02 19:20:47   普通模式         3宫格        无限制        成功    
2026-05-02 19:20:51   普通模式         3宫格        无限制        失败    
2026-05-02 19:21:13   自定义模式        3宫格        5秒         成功    
2026-05-02 19:21:48   九宫格模式        3宫格        无限制        失败    
2026-05-02 19:27:39   旋转模式         3宫格        无限制        失败    
2026-05-02 19:29:34   普通模式         3宫格        无限制        失败    
2026-05-02 19:40:40   普通模式         3宫格        无限制        成功    
2026-05-02 19:40:47   普通模式         3宫格        无限制        失败    
2026-05-02 19:48:19   自定义模式        3宫格        无限制        失败    
2026-05-02 19:48:26   普通模式         3宫格        无限制        失败    
2026-05-02 19:49:44   普通模式         3宫格        无限制        失败    
2026-05-02 20:56:44   普通模式         3宫格        无限制        失败    
2026-05-02 22:06:58   官府建筑         3宫格        无限制        失败    
2026-05-02 22:07:03   普通模式         3宫格        无限制        失败    
2026-05-02 22:09:20   普通模式         3宫格        无限制        失败    
2026-05-02 22:09:30   官府建筑         3宫格        无限制        失败    
2026-05-02 23:25:37   自定义模式        3宫格        无限制        失败    
2026-05-02 23:25:51   旋转模式         3宫格        无限制        成功    
2026-05-02 23:31:47   普通模式         3宫格        无限制        失败    
2026-05-02 23:32:12   普通模式         3宫格        无限制        失败    
2026-05-02 23:37:37   普通模式         3宫格        无限制        失败    
2026-05-02 23:38:15   普通模式         3宫格        无限制        成功    
2026-05-02 23:38:20   普通模式         3宫格        无限制        失败    
2026-05-02 23:38:44   自定义模式        3宫格        无限制        失败    
2026-05-02 23:39:14   九宫格模式        3宫格        无限制        失败    
2026-05-02 23:39:35   旋转模式         3宫格        无限制        失败    
2026-05-02 23:45:22   旋转模式         3宫格        无限制        失败    
2026-05-02 23:48:45   旋转模式         3宫格        无限制        成功    
2026-05-02 23:48:57   旋转模式         3宫格        无限制        失败    
2026-05-02 23:53:24   桥梁建筑         3宫格        无限制        失败    
2026-05-02 23:53:57   自定义模式        3宫格        无限制        失败    
2026-05-03 00:19:31   普通模式         3宫格        无限制        成功    
2026-05-03 00:19:46   普通模式         3宫格        无限制        失败    
2026-05-03 00:21:08   自定义模式        3宫格        无限制        成功    
2026-05-03 00:21:35   旋转模式         3宫格        无限制        成功    
2026-05-03 00:22:15   九宫格模式        9宫格        无限制        成功    
2026-05-03 00:22:37   九宫格模式        9宫格        无限制        失败    
2026-05-03 00:22:52   普通模式         3宫格        无限制        失败    
2026-05-03 00:26:20   普通模式         9宫格        无限制        成功    
2026-05-03 00:28:09   普通模式         3宫格        无限制        失败    
2026-05-03 00:28:18   九宫格模式        3宫格        无限制        失败    
2026-05-03 00:28:39   皇宫建筑         8宫格        无限制        失败    
2026-05-03 00:29:54   普通模式         3宫格        无限制        成功    
2026-05-03 00:30:10   官府建筑         5宫格        无限制        失败    
2026-05-03 00:33:34   普通模式         9宫格        无限制        失败    
2026-05-03 00:42:21   普通模式         9宫格        无限制        失败    
2026-05-03 00:45:11   普通模式         9宫格        无限制        失败    
2026-05-03 00:45:26   普通模式         8宫格        无限制        失败    
2026-05-03 00:53:25   官府建筑         7宫格        无限制        失败    
2026-05-03 14:33:56   官府建筑         9宫格        无限制        失败    
2026-05-03 14:35:05   皇宫建筑         9宫格        无限制        失败    
2026-05-03 14:39:14   皇宫建筑         9宫格        无限制        失败    
2026-05-03 14:43:40   官府建筑         8宫格        无限制        失败    
2026-05-03 14:47:43   普通模式         9宫格        无限制        失败    
2026-05-03 14:55:41   普通模式         9宫格        无限制        失败    
2026-05-03 14:57:12   普通模式         3宫格        无限制        失败    
2026-05-03 14:57:34   普通模式         9宫格        无限制        失败    
2026-05-03 14:58:45   九宫格模式        9宫格        无限制        成功    
2026-05-03 15:00:52   皇宫建筑         3宫格        无限制        失败    
2026-05-03 15:09:56   普通模式         9宫格        无限制        成功    
2026-05-03 15:10:14   普通模式         8宫格        无限制        成功    
2026-05-03 15:10:30   普通模式         7宫格        无限制        成功    
2026-05-03 15:10:44   普通模式         5宫格        无限制        成功    
2026-05-03 15:10:54   普通模式         9宫格        无限制        失败    
2026-05-03 15:15:18   普通模式         3宫格        无限制        成功    
2026-05-03 15:15:35   普通模式         9宫格        无限制        成功    
2026-05-03 15:15:55   自定义模式        9宫格        无限制        成功    
2026-05-03 15:16:23   九宫格模式        9宫格        无限制        成功    
2026-05-03 15:16:40   旋转模式         9宫格        无限制        成功    
2026-05-03 15:18:25   九宫格模式        3宫格        无限制        成功    
2026-05-03 15:22:14   普通模式         9宫格        无限制        成功    
2026-05-03 15:22:27   自定义模式        9宫格        无限制        成功    
2026-05-03 15:22:45   九宫格模式        9宫格        无限制        成功    
2026-05-03 15:22:55   旋转模式         9宫格        无限制        成功    
2026-05-03 15:23:08   普通模式         5宫格        无限制        成功    
2026-05-03 15:23:21   自定义模式        5宫格        无限制        成功    
2026-05-03 15:23:31   九宫格模式        5宫格        无限制        成功    
2026-05-03 15:23:50   旋转模式         5宫格        无限制        失败    
2026-05-03 15:57:34   普通模式         9宫格        无限制        失败    
2026-05-03 15:58:06   皇宫建筑         9宫格        无限制        失败    
2026-05-03 15:59:35   官府建筑         9宫格        无限制        失败    
2026-05-03 16:02:08   官府建筑         3宫格        无限制        失败    
2026-05-03 16:06:25   自定义模式        7宫格        无限制        失败    
2026-05-03 16:06:48   九宫格模式        7宫格        无限制        成功    
2026-05-03 16:12:19   官府建筑         9宫格        无限制        失败    
2026-05-03 16:17:05   官府建筑         3宫格        无限制        失败    
2026-05-03 16:20:58   自定义模式        9宫格        无限制        成功    
2026-05-03 16:21:11   自定义模式        9宫格        无限制        成功    
2026-05-03 16:33:36   自定义模式        9宫格        无限制        失败    
2026-05-03 16:42:52   自定义模式        3宫格        无限制        失败    
2026-05-03 16:43:05   九宫格模式        3宫格        无限制        成功    
2026-05-03 16:43:47   九宫格模式        9宫格        无限制        成功    
2026-05-03 16:44:06   九宫格模式        9宫格        无限制        失败    
2026-05-03 16:44:24   旋转模式         3宫格        无限制        成功    
2026-05-03 16:44:34   旋转模式         3宫格        无限制        失败    
2026-05-03 16:44:52   旋转模式         9宫格        无限制        成功    
2026-05-03 16:44:56   旋转模式         9宫格        无限制        失败    
2026-05-03 16:45:15   普通模式         3宫格        无限制        成功    
2026-05-03 16:54:25   普通模式         3宫格        无限制        失败    
2026-05-03 16:54:40   自定义模式        3宫格        无限制        失败    
2026-05-03 16:55:02   普通模式         3宫格        无限制        失败    
2026-05-03 16:55:10   官府建筑         3宫格        无限制        失败    
2026-05-03 16:58:22   普通模式         3宫格        无限制        成功    
2026-05-03 16:58:25   普通模式         3宫格        无限制        失败    
2026-05-03 16:59:20   普通模式         9宫格        5秒         成功    
2026-05-03 16:59:59   自定义模式        3宫格        5秒         成功    
2026-05-03 17:00:03   自定义模式        3宫格        5秒         失败    
2026-05-03 17:00:17   九宫格模式        3宫格        无限制        成功    
2026-05-03 17:00:26   九宫格模式        3宫格        无限制        失败    
2026-05-03 17:01:14   旋转模式         3宫格        无限制        成功    
2026-05-03 17:01:38   旋转模式         9宫格        5秒         成功    
2026-05-03 17:01:59   普通模式         3宫格        无限制        失败    
2026-05-03 17:02:26   自定义模式        3宫格        无限制        失败    
2026-05-03 17:02:35   普通模式         3宫格        无限制        失败    
2026-05-03 17:02:52   普通模式         3宫格        无限制        失败    
2026-05-03 17:07:27   普通模式         3宫格        无限制        失败    
2026-05-03 17:07:52   普通模式         3宫格        无限制        失败    
2026-05-03 17:15:08   普通模式         3宫格        无限制        失败    
2026-05-03 17:15:19   自定义模式        3宫格        无限制        失败    
2026-05-03 17:15:26   普通模式         3宫格        无限制        失败    
2026-05-03 17:16:21   普通模式         3宫格        无限制        失败    
2026-05-03 17:30:21   普通模式         3宫格        无限制        失败    
2026-05-03 17:30:32   自定义模式        3宫格        无限制        失败    
2026-05-03 17:31:08   九宫格模式        3宫格        无限制        失败    
2026-05-03 17:31:16   旋转模式         3宫格        无限制        失败    
2026-05-03 17:34:46   旋转模式         3宫格        无限制        失败    
2026-05-03 17:35:06   普通模式         3宫格        无限制        失败    
2026-05-03 17:35:19   旋转模式         3宫格        无限制        失败    
2026-05-03 17:36:39   旋转模式         3宫格        无限制        失败    
2026-05-03 17:36:54   桥梁建筑         3宫格        无限制        失败    
2026-05-03 17:39:34   旋转模式         3宫格        无限制        成功    
2026-05-03 17:42:36   普通模式         3宫格        无限制        失败    
2026-05-03 17:42:44   普通模式         3宫格        无限制        失败    
2026-05-03 17:43:04   自定义模式        3宫格        无限制        成功    
2026-05-03 17:43:24   九宫格模式        3宫格        无限制        成功    
2026-05-03 17:44:32   旋转模式         3宫格        无限制        失败    
2026-05-03 17:46:32   桥梁建筑         3宫格        无限制        失败    
2026-05-03 17:52:11   桥梁建筑         3宫格        无限制        成功    
2026-05-03 17:54:49   桥梁建筑         3宫格        无限制        失败    
2026-05-03 17:57:42   桥梁建筑         3宫格        无限制        失败    
2026-05-03 18:05:11   民居建筑         3宫格        无限制        失败    
2026-05-03 19:40:02   民居建筑         3宫格        无限制        失败    
2026-05-03 19:55:23   民居建筑         3宫格        无限制        失败    
2026-05-03 19:55:52   民居建筑         3宫格        无限制        失败    
2026-05-03 19:57:07   民居建筑         3宫格        无限制        失败    
2026-05-03 19:57:16   皇宫建筑         3宫格        无限制        失败    
2026-05-03 21:53:25   民居建筑         3宫格        无限制        失败    
